symbol,price,open,change,pct_change,high,low,prev_close,time_unix,time_iso
AAPL,268.29,269.99,0.83,0.3103,270.71,265.32,267.46,1763497893,2025-11-18T20:31:33+00:00
AAPL,268.13,269.99,0.67,0.2505,270.71,265.32,267.46,1763497940,2025-11-18T20:32:20+00:00
AAPL,268.13,269.99,0.67,0.2505,270.71,265.32,267.46,1763497940,2025-11-18T20:32:20+00:00
AAPL,268.13,269.99,0.67,0.2505,270.71,265.32,267.46,1763497940,2025-11-18T20:32:20+00:00
AAPL,268.1115,269.99,0.6515,0.2436,270.71,265.32,267.46,1763497994,2025-11-18T20:33:14+00:00
AAPL,268.1115,269.99,0.6515,0.2436,270.71,265.32,267.46,1763497994,2025-11-18T20:33:14+00:00
AAPL,268.1115,269.99,0.6515,0.2436,270.71,265.32,267.46,1763497994,2025-11-18T20:33:14+00:00
AAPL,268.09,269.99,0.63,0.2355,270.71,265.32,267.46,1763498044,2025-11-18T20:34:04+00:00
AAPL,268.09,269.99,0.63,0.2355,270.71,265.32,267.46,1763498044,2025-11-18T20:34:04+00:00
AAPL,268.09,269.99,0.63,0.2355,270.71,265.32,267.46,1763498044,2025-11-18T20:34:04+00:00
AAPL,268.09,269.99,0.63,0.2355,270.71,265.32,267.46,1763498044,2025-11-18T20:34:04+00:00
AAPL,268.09,269.99,0.63,0.2355,270.71,265.32,267.46,1763498094,2025-11-18T20:34:54+00:00
AAPL,268.09,269.99,0.63,0.2355,270.71,265.32,267.46,1763498094,2025-11-18T20:34:54+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498127,2025-11-18T20:35:27+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498127,2025-11-18T20:35:27+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498127,2025-11-18T20:35:27+00:00
AAPL,267.965,269.99,0.505,0.1888,270.71,265.32,267.46,1763498175,2025-11-18T20:36:15+00:00
AAPL,267.965,269.99,0.505,0.1888,270.71,265.32,267.46,1763498175,2025-11-18T20:36:15+00:00
AAPL,267.965,269.99,0.505,0.1888,270.71,265.32,267.46,1763498175,2025-11-18T20:36:15+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498227,2025-11-18T20:37:07+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498227,2025-11-18T20:37:07+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498227,2025-11-18T20:37:07+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498274,2025-11-18T20:37:54+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498274,2025-11-18T20:37:54+00:00
AAPL,268.01,269.99,0.55,0.2056,270.71,265.32,267.46,1763498274,2025-11-18T20:37:54+00:00
AAPL,268.18,269.99,0.72,0.2692,270.71,265.32,267.46,1763498324,2025-11-18T20:38:44+00:00
AAPL,268.18,269.99,0.72,0.2692,270.71,265.32,267.46,1763498324,2025-11-18T20:38:44+00:00
AAPL,268.18,269.99,0.72,0.2692,270.71,265.32,267.46,1763498324,2025-11-18T20:38:44+00:00
AAPL,268.31,269.99,0.85,0.3178,270.71,265.32,267.46,1763498374,2025-11-18T20:39:34+00:00
AAPL,268.31,269.99,0.85,0.3178,270.71,265.32,267.46,1763498374,2025-11-18T20:39:34+00:00
AAPL,268.31,269.99,0.85,0.3178,270.71,265.32,267.46,1763498374,2025-11-18T20:39:34+00:00
AAPL,268.31,269.99,0.85,0.3178,270.71,265.32,267.46,1763498374,2025-11-18T20:39:34+00:00
AAPL,268.28,269.99,0.82,0.3066,270.71,265.32,267.46,1763498425,2025-11-18T20:40:25+00:00
AAPL,268.28,269.99,0.82,0.3066,270.71,265.32,267.46,1763498425,2025-11-18T20:40:25+00:00
AAPL,268.28,269.99,0.82,0.3066,270.71,265.32,267.46,1763498457,2025-11-18T20:40:57+00:00
AAPL,268.28,269.99,0.82,0.3066,270.71,265.32,267.46,1763498457,2025-11-18T20:40:57+00:00
AAPL,268.28,269.99,0.82,0.3066,270.71,265.32,267.46,1763498457,2025-11-18T20:40:57+00:00
AAPL,268.17,269.99,0.71,0.2655,270.71,265.32,267.46,1763498509,2025-11-18T20:41:49+00:00
AAPL,268.17,269.99,0.71,0.2655,270.71,265.32,267.46,1763498509,2025-11-18T20:41:49+00:00
AAPL,268.17,269.99,0.71,0.2655,270.71,265.32,267.46,1763498509,2025-11-18T20:41:49+00:00
AAPL,268.0908,269.99,0.6308,0.2358,270.71,265.32,267.46,1763498558,2025-11-18T20:42:38+00:00
AAPL,268.0908,269.99,0.6308,0.2358,270.71,265.32,267.46,1763498558,2025-11-18T20:42:38+00:00
